name,type,value,date
9,,128,2019-04-21,
10,,168,2019-04-21,
11,,171,2019-04-21,
12,,92,2019-04-21,
13,,125,2019-04-21,
14,,152,2019-04-21,
15,,132,2019-04-21,
16,,94,2019-04-21,
17,,34,2019-04-21,
18,,43,2019-04-21,
19,,22,2019-04-21,
20,,11,2019-04-21,
21,,5,2019-04-21,
22,,5,2019-04-21,
23,,22,2019-04-21,
0,,36,2019-04-22,
1,,121,2019-04-22,
2,,195,2019-04-22,
3,,205,2019-04-22,
4,,159,2019-04-22,
5,,162,2019-04-22,
6,,169,2019-04-22,
7,,165,2019-04-22,
8,,160,2019-04-22,
9,,131,2019-04-22,
10,,170,2019-04-22,
11,,171,2019-04-22,
12,,93,2019-04-22,
13,,126,2019-04-22,
14,,152,2019-04-22,
15,,133,2019-04-22,
16,,96,2019-04-22,
17,,34,2019-04-22,
18,,43,2019-04-22,
19,,22,2019-04-22,
20,,11,2019-04-22,
21,,5,2019-04-22,
22,,5,2019-04-22,
23,,22,2019-04-22,
0,,36,2019-04-23,
1,,132,2019-04-23,
2,,198,2019-04-23,
3,,208,2019-04-23,
4,,164,2019-04-23,
5,,162,2019-04-23,
6,,170,2019-04-23,
7,,166,2019-04-23,
8,,165,2019-04-23,
9,,131,2019-04-23,
10,,186,2019-04-23,
11,,171,2019-04-23,
12,,93,2019-04-23,
13,,128,2019-04-23,
14,,156,2019-04-23,
15,,134,2019-04-23,
16,,98,2019-04-23,
17,,36,2019-04-23,
18,,44,2019-04-23,
19,,22,2019-04-23,
20,,11,2019-04-23,
21,,5,2019-04-23,
22,,6,2019-04-23,
23,,22,2019-04-23,
0,,36,2019-04-24,
1,,132,2019-04-24,
2,,200,2019-04-24,
3,,216,2019-04-24,
4,,166,2019-04-24,
5,,162,2019-04-24,
6,,170,2019-04-24,
7,,166,2019-04-24,
8,,165,2019-04-24,
9,,132,2019-04-24,
10,,186,2019-04-24,
11,,171,2019-04-24,
12,,93,2019-04-24,
13,,129,2019-04-24,
14,,159,2019-04-24,
15,,134,2019-04-24,
16,,98,2019-04-24,
17,,36,2019-04-24,
